qid,Len,Lml,Den,Dml,P31,S854,P2093,P212,P957,P407,P495,P577,P1104,P136,P393
,Menusmruthi,മെനുസ്മൃതി,Malayalam-language memoirs published by Litmus,ലിറ്റ്മസ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/menusmruthi""","""Vinu Joseph""","""9788126467587""",,Q36236,Q668,+2016-08-05T00:00:00Z/11,108,,"""2"""
,Michael Keyude Jeevithavum Kalavum,മിഖായേൽ കെയുടെ ജീവിതവും കാലവും,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/michael-keyude-jeevithavum-kalavum""","""Coetzee J M""","""9788126408610""",,Q36236,Q668,+2015-06-01T00:00:00Z/11,172,Q8261,"""2"""
,Mikacha Aasayavinimayam Mikacha Vijayathinu,മികച്ച ആശയവിനിമയം മികച്ച വിജയത്തിന്,Malayalam-language self help published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mikacha-aasayavinimayam-mikacha-vijaythinu""","""T R S Menon""",,,Q36236,Q668,+2012-11-21T00:00:00Z/11,120,Q3739522,"""1"""
,Mikacha India Mikavutta Lokam,മികച്ച ഇന്ത്യ മികവുറ്റ ലോകം,Malayalam-language society & culture published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സമൂഹവും സംസ്കാരവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mikacha-india-mikavutta-lokam""","""Narayana Murthy N R""","""9788126434756""",,Q36236,Q668,+2015-05-08T00:00:00Z/11,336,Q11042,"""1"""
,Milindapanja - Buddhadarsanam,മിലിന്ദപഞ്ഞ - ബുദ്ധദര്ശനം,Malayalam-language religion published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള മതം സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/milindapanja-buddhadarsanam""","""Pillai R N""","""9788126453283""",,Q36236,Q668,+2015-02-23T00:00:00Z/11,200,Q9174,"""1"""
,Mind Map Book [malayalam],മൈൻഡ് മാപ് ബുക്ക് [മലയാളം],Malayalam-language self help published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mind-map-book-malayalam""","""Tony Buzan""",,"""8131773302""",Q36236,Q668,+2012-01-02T00:00:00Z/11,320,Q3739522,"""1"""
,Mind Master,മൈൻഡ് മാസ്റ്റർ,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/mind-master""","""Viswanathan Anand""","""9789354325038""",,Q36236,Q668,+2021-12-04T00:00:00Z/11,288,Q112983,"""2"""
,Mindaprani,മിണ്ടാപ്രാണി,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/mindaprani""","""Veerankutty""","""9788126464968""",,Q36236,Q668,+2017-06-16T00:00:00Z/11,88,Q482,"""2"""
,Mindattangal,മിണ്ടാട്ടങ്ങൾ,Malayalam-language essays published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഉപന്യാസങ്ങൾ,Q7725634,"""https://dcbookstore.com/books/mindattangal""","""Rajagopalan E P""","""9789353901882""",,Q36236,Q668,+2021-02-01T00:00:00Z/11,192,Q35760,"""1"""
,Mithum Charithravum ( Print on Demand ),മിത്തും ചരിത്രവും ( പ്രിന്റ് ഓൺ ഡിമാൻഡ് ),Malayalam-language study published by Expressions a Self Publishing Service of DC Press,എക്സ്പ്രഷൻസ് (ഡിസി പ്രസ്) പ്രസിദ്ധീകരിച്ച മലയാള പഠനം,Q7725634,"""https://dcbookstore.com/books/mithum-charithravum""","""M.I Punnoose""","""9789354329173""",,Q36236,Q668,+2021-10-07T00:00:00Z/11,184,Q193495,"""1"""
,Mithyakalkkappuram : Swavarga Laimgikatha Keralathil,മിഥ്യകൾക്കപ്പുറം : സ്വവർഗ ലൈംഗികത കേരളത്തിൽ,Malayalam-language study published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള പഠനം,Q7725634,"""https://dcbookstore.com/books/mithyakalkkappuram-swavarga-laimgikatha-keralathil""","""Reshma Bharadwaj""",,,Q36236,Q668,+2015-07-15T00:00:00Z/11,228,Q193495,"""2"""
,Mittayipothi,മിട്ടായിപോതി,Malayalam-language children's books published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ബാലപുസ്തകങ്ങൾ,Q7725634,"""https://dcbookstore.com/books/mittayipothi""","""Sumangala""",,,Q36236,Q668,+2024-09-30T00:00:00Z/11,288,,"""13"""
,Mittayitheruvu,മിട്ടായിത്തെരുവ്,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/mittayitheruvu""","""V R Sudheesh""",,,Q36236,Q668,+2025-10-20T00:00:00Z/11,128,Q112983,"""5"""
,Mizhi: Ellam Kanunnaval,മിഴി: എല്ലാം കാണുന്നവൻ,Malayalam-language novel published by Litmus,ലിറ്റ്മസ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/mizhi-ellam-kanunnaval""","""K.V. Anil""","""9789353901035""",,Q36236,Q668,+2020-06-01T00:00:00Z/11,200,Q8261,"""2"""
,M N Roy - Swathanthryanveshiyaya Viplavakari,എം ണ് റോയ് - സ്വാതന്ത്ര്യാന്വേഷിയായ വിപ്ലവകാരി,Malayalam-language autobiography & biography published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആത്മകഥയും ജീവചരിത്രവും,Q7725634,"""https://dcbookstore.com/books/mnroy-swathanthryanveshiyaya-viplavakari""","""Damodaran N""","""9789352828517""",,Q36236,Q668,+2019-11-25T00:00:00Z/11,431,Q36279,"""1"""
,Mohamanja,മോഹമഞ്ഞ,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/mohamanja""","""K. R. Meera""","""9788126407927""",,Q36236,Q668,+2026-01-19T00:00:00Z/11,104,Q49084,"""4"""
,Mohiniyaattam Ariyendathellaam,മോഹിനിയാട്ടം അറിയേണ്ടതെല്ലാം,Malayalam-language art published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കലാ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mohiniyaattam-ariyendathellaam""","""Kala Vijayan""","""9788126436316""",,Q36236,Q668,+2024-10-31T00:00:00Z/11,400,Q36649,"""3"""
,Molakkalmuruvile Rapakalukal,മൊല്ലാക്കാലമുരുവിലെ രാപകലുകൾ,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/molakkalmuruvile-rapakalukal""","""Shobheendran""","""9789354326462""",,Q36236,Q668,+2025-11-29T00:00:00Z/11,184,Q112983,"""4"""
,Moodupadam,മൂടുപടം,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/moodupadam""","""Pottekkat S K""",,"""8126407557""",Q36236,Q668,+2025-07-21T00:00:00Z/11,152,Q8261,"""4"""
,Moolakangal Katha Parayumbol,മൂലകങ്ങൾ കഥ പറയുമ്പോൾ,Malayalam-language science published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/moolakangal-katha-parayumbol""","""Joseph M""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,144,Q336,"""1"""
,Mooliyalankari,മൂളിയലങ്കരി,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/mooliyalankari""","""Jyothibai Pariyadath""","""9789354821042""",,Q36236,Q668,+2021-12-11T00:00:00Z/11,144,Q482,"""2"""
,Moolyangalute Kuzhamarichil,മൂല്യങ്ങളുടെ കുഴമറിച്ചിൽ,Malayalam-language philosophy published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തത്ത്വശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/moolyangalute-kuzhamarichil""","""Nithyachaithanya Yathi""",,"""8171303412""",Q36236,Q668,+2021-10-10T00:00:00Z/11,110,Q5891,"""9"""
,Moongakal Marangalil Jeevikkunnu,മൂങ്ങകൾ മരങ്ങളിൽ ജീവിക്കുന്നു,Malayalam-language science published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/moongakal-marangalil-jeevikkunnu""","""Melvin Berger""",,"""8126413344""",Q36236,Q668,+2015-06-01T00:00:00Z/11,14,Q336,"""1"""
,Moonnu Anthanmar Anaye Vivarikkunnu,മൂന്നു അന്ധന്മാർ ആനയെ വിവരിക്കുന്നു,Malayalam-language short stories published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/moonnu-anthanmar-anaye-vivarikkunnu""","""E. Santhosh Kumar""",,"""8122606342""",Q36236,Q668,+2015-06-01T00:00:00Z/11,102,Q49084,"""2"""
,Moonnu Kuttikal,മൂന്നു കുട്ടികൾ,Malayalam-language short stories published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/moonnu-kuttikal""","""Sethu""","""9789354824883""",,Q36236,Q668,+2024-06-29T00:00:00Z/11,128,,"""3"""
,Moonnu Manthrikanmar,മൂന്നു മന്ത്രികന്മാർ,Malayalam-language children's literature published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/moonnu-manthrikanmar""","""Subhash Chandran""","""9789354326653""",,Q36236,Q668,+2022-08-19T00:00:00Z/11,128,Q131539,"""2"""
,Moonu Kallukal,മൂന്ന് കല്ലുകൾ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/moonu-kallukal""","""Ajai P Mangattu""","""9789354821936""",,Q36236,Q668,+2022-10-06T00:00:00Z/11,288,Q8261,"""3"""
,Moonnu Viralukal,മൂന്നു വിരലുകൾ,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/moonu-viralukal""","""E. Santhosh Kumar""",,"""8126420774""",Q36236,Q668,+2025-08-29T00:00:00Z/11,144,Q49084,"""3"""
,Moothore Vakku,മൂത്തോറെ വാക്ക്,Malayalam-language linguistics published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഭാഷാശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/moothore-vakku--360873530412""","""Manoj Manayil""","""9788126474394""",,Q36236,Q668,+2016-11-08T00:00:00Z/11,192,,"""1"""
,Mossad (malayalam),മൊസാദ് (മലയാളം),Malayalam-language history published by Manjul Publishing,മഞ്ജുൽ പബ്ലിഷിംഗ് പ്രസിദ്ധീകരിച്ച മലയാള ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mossad-malayalam""","""Michael Bar Zohar""","""9789391242701""",,Q36236,Q668,+2022-10-05T00:00:00Z/11,420,Q309,"""1"""
,Mottambuli,മോട്ടാമ്പുളി,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/mottambuli""","""Ambikasuthan Mangad""","""9789354324024""",,Q36236,Q668,+2022-08-26T00:00:00Z/11,144,Q49084,"""3"""
,Mozhiyazham,മൊഴിയാഴം,Malayalam-language philosophy published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തത്ത്വശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mozhiyazham""","""Shoukath""","""9788182665170""",,Q36236,Q668,+2015-07-08T00:00:00Z/11,110,Q5891,"""2"""
,Mrigaparipalanathile Nattarivukal,മൃഗപരിപാലനത്തിലെ നാട്ടറിവുകൾ,Malayalam-language agriculture & gardening published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള കൃഷിയും തോട്ടപരിപാലനവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mrigaparipalanathile-nattarivukal""","""Mohanan P V""","""9788126422425""",,Q36236,Q668,+2015-11-30T00:00:00Z/11,110,Q11451,"""4"""
,Mrigasamrakshanam : Puthan Pravanathakal,മൃഗസംരക്ഷണം : പുത്തൻ പ്രവണതകൾ,Malayalam-language agriculture & gardening published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള കൃഷിയും തോട്ടപരിപാലനവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mrigasamrakhanam-puthan-pravanthakal""","""Sethumadhavan T P""","""9788126420551""",,Q36236,Q668,+2013-03-01T00:00:00Z/11,176,Q11451,"""2"""
,Mrithyunjayam-snehathinte Nurunguvettangal,മൃത്യുഞ്ജയം-സ്നേഹത്തിന്റെ നുറുങ്ങുവെട്ടങ്ങൾ,Malayalam-language memoirs published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/mrithyunjayam-snehathinte-nurunguvettangal""","""S Madhusoodanan""","""9789354322693""",,Q36236,Q668,+2021-12-27T00:00:00Z/11,208,Q112983,"""2"""
,Mrugabhoomi,മൃഗഭൂമി,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/mrugabhoomi""","""John Berger""","""9789352827374""",,Q36236,Q668,+2019-03-05T00:00:00Z/11,224,,"""1"""
,Mrugaya,മൃഗയ,Malayalam-language poetry published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/mrugaya""","""O. N. V. Kurup""",,"""8171302386""",Q36236,Q668,+2023-11-24T00:00:00Z/11,112,Q482,"""17"""
,Mrugaya : Keralathinte Nayattucharithram,മൃഗയ : കേരളത്തിന്റെ നായാട്ടുചരിത്രം,Malayalam-language history published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mrugaya--keralathinte-nayattucharithram""","""Vinil Paul""","""9789356432543""",,Q36236,Q668,+2024-09-30T00:00:00Z/11,224,Q309,"""4"""
,Mruthi,മൃതി,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/mruthi""",,"""9789353906726""",,Q36236,Q668,+2020-08-09T00:00:00Z/11,240,Q49084,"""1"""
,M.t.yude Yathrakal,എം.ടി.യുടെ യാത്രകൾ,Malayalam-language travel & travelogue published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/mtyude-yathrakal""","""M T Vasudevan Nair""","""9788194615217""",,Q36236,Q668,+2020-11-04T00:00:00Z/11,296,Q1072723,"""2"""
,Mucheettukalikkarante Makal,മുച്ചീട്ടുകളിക്കാരന്റെ മകൾ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/mucheettukalikkarante-makal""","""Vaikom Muhammad Basheer""",,"""8171300138""",Q36236,Q668,+2025-08-25T00:00:00Z/11,40,Q8261,"""34"""
,Mucheettukalikkarante Makalum Chila Gadagadiyan Novelukalum,മുച്ചീട്ടുകളിക്കാരന്റെ മകളും ചില ഗഡാഗഡിയാണ് നോവലുകളും,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/mucheettukalikkarante-makalum-chila-gadagadiyan-novelukalum""","""Vaikom Muhammad Basheer""","""9788126442201""",,Q36236,Q668,+2025-06-10T00:00:00Z/11,264,Q8261,"""9"""
,Mughasandhikal,മുഖസന്ധികൾ,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/mughasandhikal""","""K. Rajasekharan Nair""","""9789354323423""",,Q36236,Q668,+2025-11-24T00:00:00Z/11,222,Q112983,"""2"""
,Muhammad Nabi,മുഹമ്മദ് നബി,Malayalam-language children's literature published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/muhammad-nabi""","""P K Muhammadali""","""9788126422715""",,Q36236,Q668,+2018-12-06T00:00:00Z/11,84,,"""3"""
,Muhyudeen Mala : Sufi Vyakhyanam,മുഹ്യുദീൻ മാള : സൂഫി വ്യാഖ്യാനം,Malayalam-language religion published by Expressions a Self Publishing Service of DC Press,എക്സ്പ്രഷൻസ് (ഡിസി പ്രസ്) പ്രസിദ്ധീകരിച്ച മലയാള മതം സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/muhyudeen-mala-sufi-vyakhyanam""","""Jaleel Mehboobi""","""9789384786298""",,Q36236,Q668,+2015-02-16T00:00:00Z/11,512,Q9174,"""1"""
,Mukesh Kathakal Veendum,മുകേഷ് കഥകൾ വീണ്ടും,Malayalam-language short stories published by Litmus,ലിറ്റ്മസ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/mukesh-kathakal-veendum""","""Mukesh""","""9788126452897""",,Q36236,Q668,+2025-09-29T00:00:00Z/11,222,Q49084,"""7"""
,Mukesh Reloaded,മുകേഷ് റീലോഡ്ഡ്,Malayalam-language memoirs published by Litmus,ലിറ്റ്മസ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/mukesh-reloaded""","""Mukesh""","""9789354824418""",,Q36236,Q668,+2025-09-29T00:00:00Z/11,160,Q112983,"""6"""
,Mukhapusthakachinthakal,മുഖപുസ്തകചിന്തകൾ,Malayalam-language articles published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ലേഖനങ്ങൾ,Q7725634,"""https://dcbookstore.com/books/mukhapusthakachinthakal""","""K. T. Jaleel""","""9789353906382""",,Q36236,Q668,+2022-08-19T00:00:00Z/11,290,Q35760,"""2"""
,Mukilan,മുകിലാണ്,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/mukilan""","""Deepu""","""9789354324659""",,Q36236,Q668,+2025-09-15T00:00:00Z/11,200,Q8261,"""6"""
,Mukkutti - Keralathile Vrukshangalum Cheru Sasyangalum,മുക്കുറ്റി - കേരളത്തിലെ വൃക്ഷങ്ങളും ചെറു സസ്യങ്ങളും,Malayalam-language reference published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mukkutti---keralathile-vrukshangalum-cheru-sasyangalum--261530977570""","""Vinodkumar R""","""9788126474271""",,Q36236,Q668,+2016-11-29T00:00:00Z/11,192,,"""1"""
,Mukundante Kathakal,മുകുന്ദന്റെ കഥകൾ,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/mukundante-kathakal""","""M. Mukundan""",,"""8126424087""",Q36236,Q668,+2015-06-01T00:00:00Z/11,266,Q49084,"""9"""
,Mukundante Kathakal Sampoornam (2vol),മുകുന്ദന്റെ കഥകൾ സമ്പൂര്ണം (2വോൾ),Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/mukundante-kathakal-sampoornam""","""M. Mukundan""","""9788126424085""",,Q36236,Q668,+2022-05-06T00:00:00Z/11,1208,,"""4"""
,Mullakathakal,മുല്ലകഥകൾ,Malayalam-language humour published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഹാസ്യസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/mullakathakal""","""Mohanan V M""","""9788126467402""",,Q36236,Q668,+2016-08-30T00:00:00Z/11,168,Q60548032,"""1"""
,Mullapperiyar Dam :keralam Neritunna Duranthabheeshani,മുല്ലപ്പെരിയാർ ഡാം :കേരളം നേരിടുന്ന ദുരന്തഭീഷണി,Malayalam-language environment & nature published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള പരിസ്ഥിതിയും പ്രകൃതിയും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/mullapperiyar-dam-keralam-neritunna-duranthabheeshani""","""George A V""","""9788126433674""",,Q36236,Q668,+2011-12-05T00:00:00Z/11,80,,"""1"""
,Mullappooniramulla Pakalukal,മുല്ലപ്പൂനിറമുള്ള പകലുകൾ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/mullappooniramulla-pakalukal""","""Benyamin""","""9788126450800""",,Q36236,Q668,+2026-01-28T00:00:00Z/11,296,Q8261,"""25"""
,Mullappooniramulla Pakalukal and Al Arabian Novel Factory,മുല്ലപ്പൂനിറമുള്ള പകലുകൾ ആൻഡ് അൽ അറേബ്യൻ നോവൽ ഫാക്ടറി,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/mullappooniramulla-pakalukal-and-al-arabian-novel-factory""","""Benyamin""","""9789353902018""",,Q36236,Q668,+2020-01-20T00:00:00Z/11,734,Q8261,"""1"""
,Mullaranjanam,മുള്ളാരാഞ്ജനം,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/mullaranjanam""","""Vinoy Thomas""","""9789389445459""",,Q36236,Q668,+2025-12-30T00:00:00Z/11,120,Q49084,"""8"""
,Mundanparunki,മുണ്ടൻപറങ്കി,Malayalam-language memoirs published by Manorama Publication,മനോരമ പബ്ലിക്കേഷൻ പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/mundanparunki""","""Francis Noronha""","""9789389649185""",,Q36236,Q668,+2021-12-09T00:00:00Z/11,136,Q112983,"""1"""
,Munnam Kannu,മൂന്നാം കണ്ണ്,Malayalam-language biography published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ജീവചരിത്രം,Q7725634,"""https://dcbookstore.com/books/munnam-kannu""","""M P Narayanapillai""",,"""8171308333""",Q36236,Q668,+2020-12-15T00:00:00Z/11,166,Q36279,"""2"""
,Munnerunna India : Mattathinte Manifesto,മുന്നേറുന്ന ഇന്ത്യ : മാറ്റത്തിന്റെ മാനിഫെസ്റ്റോ,Malayalam-language society & culture published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സമൂഹവും സംസ്കാരവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/munnerunna-india-mattathinte-manifesto""","""A. P. J. Abdul Kalam""","""9788126464654""",,Q36236,Q668,+2025-09-29T00:00:00Z/11,280,Q11042,"""5"""
,Munpe Natannavar,മുൻപേ നടന്നവർ,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/munpe-natannavar""","""K. Rajasekharan Nair""","""9789387169517""",,Q36236,Q668,+2025-11-25T00:00:00Z/11,456,,"""2"""
,Munpe Peytha Mazhayilanu Ippol Nanayunnathu,മുൻപേ പെയ്ത മഴയിലാണ് ഇപ്പോൾ നനയുന്നത്,Malayalam-language memoirs published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/munpe-peytha-mazhayilanu-ippol-nanayunnathu""","""Bhanuprakash""","""9788182681385""",,Q36236,Q668,+2020-11-04T00:00:00Z/11,200,Q112983,"""1"""
,Munpilulla Jeevitham,മുന്പിലുള്ള ജീവിതം,Malayalam-language philosophy published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തത്ത്വശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/munpilulla-jeevitham""","""Krishnamurti J""","""9788126439515""",,Q36236,Q668,+2021-02-05T00:00:00Z/11,216,Q5891,"""2"""
,Murinavu,മുരിണാവ്‌,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/murinavu""","""Manoj Kuroor""","""9789353905149""",,Q36236,Q668,+2021-10-21T00:00:00Z/11,416,,"""3"""
,Murukan Enna Pampattiyum Mattu Kathakalum,മുരുകൻ എന്ന പാമ്പാട്ടിയും മറ്റു കഥകളും,Malayalam-language short stories published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/murukan-enna-pampattiyum-mattu-kathakalum""","""M P Narayanapillai""","""9788126477036""",,Q36236,Q668,+2019-10-09T00:00:00Z/11,310,Q49084,"""2"""
